Table C2 
Forsterite Melting and Partitioning


$\tfrac{{M}_{\mathrm{proj}}}{{M}_{\mathrm{earth}}}$	$\tfrac{{v}_{\mathrm{imp}}}{{v}_{\mathrm{esc}}}$	theta	E _imp (J)	M _melt (kg)	M _scf (kg)	M _scf ^atmo (kg)	M _vapor (kg)	M _atmo (kg)	M _disk (kg)	
0.0012	1.1	0	4.7 x 10^29	3.8 x 10^22	2.0 x 10^21	1.4 x 10^21	5.8 x 10^20	2.0 x 10^21	1.1 x 10^19	
0.0012	1.1	30	4.7 x 10^29	4.3 x 10^22	3.5 x 10^21	2.2 x 10^21	4.7 x 10^20	2.7 x 10^21	5.6 x 10^19	
0.0012	1.1	45	4.7 x 10^29	4.5 x 10^22	3.3 x 10^21	2.0 x 10^21	2.4 x 10^20	2.3 x 10^21	1.0 x 10^20	
0.0012	1.1	60	4.7 x 10^29	2.5 x 10^22	1.3 x 10^21	9.6 x 10^20	1.4 x 10^20	1.1 x 10^21	1.5 x 10^20	
0.0012	1.5	0	8.7 x 10^29	7.3 x 10^22	3.6 x 10^21	1.9 x 10^21	1.6 x 10^21	3.5 x 10^21	8.7 x 10^18	
0.0012	1.5	30	8.7 x 10^29	7.8 x 10^22	5.7 x 10^21	3.7 x 10^21	2.1 x 10^21	5.7 x 10^21	7.2 x 10^19	
0.0012	1.5	45	8.7 x 10^29	7.4 x 10^22	5.5 x 10^21	3.9 x 10^21	1.2 x 10^21	5.1 x 10^21	1.3 x 10^20	
0.0012	1.5	60	8.7 x 10^29	2.9 x 10^22	2.2 x 10^21	1.5 x 10^21	2.5 x 10^20	1.7 x 10^21	9.7 x 10^19	
0.0012	2	0	1.5 x 10^30	1.5 x 10^23	9.7 x 10^21	4.9 x 10^21	3.5 x 10^21	8.4 x 10^21	2.1 x 10^20	
0.0012	2	30	1.5 x 10^30	1.4 x 10^23	9.9 x 10^21	6.2 x 10^21	5.6 x 10^21	1.2 x 10^22	1.1 x 10^20	
0.0012	2	45	1.5 x 10^30	1.2 x 10^23	8.9 x 10^21	6.4 x 10^21	3.5 x 10^21	9.9 x 10^21	2.7 x 10^20	
