Table C3 
Iron Partitioning


$\tfrac{{M}_{\mathrm{proj}}}{{M}_{\mathrm{earth}}}$	$\tfrac{{v}_{\mathrm{imp}}}{{v}_{\mathrm{esc}}}$	theta	E _imp (J)	M _proj ^iron (kg)	X ^Fe _interior	X ^Fe _surf	X ^Fe _atmo	X ^Fe _disk	X ^Fe _ejec	
0.001 2	1.1	0	4.7 x 10^29	2.382 5e+21	1	0	0	0	0	
0.001 2	1.1	30	4.7 x 10^29	2.382 5e+21	1	0	0	0	0	
0.001 2	1.1	45	4.7 x 10^29	2.382 5e+21	0.99	0.007	0.003	0	0	
0.001 2	1.1	60	4.7 x 10^29	2.382 5e+21	0.375	0.061	0.196	0.038	0.33	
0.001 2	1.5	0	8.7 x 10^29	2.382 5e+21	1	0	0	0	0	
0.001 2	1.5	30	8.7 x 10^29	2.382 5e+21	1	0	0	0	0	
0.001 2	1.5	45	8.7 x 10^29	2.382 5e+21	0.879	0.03	0.091	0.001	0	
0.001 2	1.5	60	8.7 x 10^29	2.382 5e+21	0.156	0.062	0.177	0.018	0.588	
0.001 2	2	0	1.5 x 10^30	2.382 5e+21	0.948	0.047	0.005	0	0	
0.001 2	2	30	1.5 x 10^30	2.382 5e+21	0.851	0.14	0.009	0	0	
0.001 2	2	45	1.5 x 10^30	2.382 5e+21	0.689	0.101	0.195	0.004	0.011	
0.001 2	2	60	1.5 x 10^30	2.382 5e+21	0.037	0.026	0.088	0.014	0.834	
0.003	1.1	0	1.1 x 10^30	5.962 6e+21	1	0	0	0	0	
0.003	1.1	30	1.1 x 10^30	5.962 6e+21	1	0	0	0	0	
0.003	1.1	45	1.1 x 10^30	5.962 6e+21	0.96	0.018	0.022	0	0	
0.003	1.1	60	1.1 x 10^30	5.962 6e+21	0.29	0.065	0.191	0.041	0.413	
0.003	1.5	0	2.1 x 10^30	5.962 6e+21	1	0	0	0	0	
0.003	1.5	30	2.1 x 10^30	5.962 6e+21	1	0	0	0	0	
0.003	1.5	45	2.1 x 10^30	5.962 6e+21	0.786	0.024	0.174	0.004	0.012	
0.003	1.5	60	2.1 x 10^30	5.962 6e+21	0.055	0.022	0.124	0.016	0.783	
0.003	2	0	3.7 x 10^30	5.962 6e+21	0.987	0.012	0	0	0	
0.003	2	30	3.7 x 10^30	5.962 6e+21	0.907	0.091	0.002	0	0	
0.003	2	45	3.7 x 10^30	5.962 6e+21	0.543	0.053	0.287	0.004	0.113	
0.003	2	60	3.7 x 10^30	5.962 6e+21	0.002	0.007	0.03	0.011	0.95	
0.006	1.1	0	2.2 x 10^30	1.189 7e+22	1	0	0	0	0	
0.006	1.1	30	2.2 x 10^30	1.189 7e+22	1	0	0	0	0	
0.006	1.1	45	2.2 x 10^30	1.189 7e+22	0.919	0.015	0.066	0	0	
0.006	1.1	60	2.2 x 10^30	1.189 7e+22	0.24	0.032	0.164	0.024	0.54	
0.006	1.5	0	4.1 x 10^30	1.189 7e+22	1	0	0	0	0	
0.006	1.5	30	4.1 x 10^30	1.189 7e+22	0.999	0.001	0	0	0	
0.006	1.5	45	4.1 x 10^30	1.189 7e+22	0.652	0.032	0.24	0.018	0.059	
0.006	1.5	60	4.1 x 10^30	1.189 7e+22	0.013	0.01	0.053	0.012	0.912	
0.006	2	0	7.2 x 10^30	1.189 7e+22	0.96	0.04	0	0	0	
0.006	2	30	7.2 x 10^30	1.189 7e+22	0.943	0.047	0.008	0.001	0	
0.006	2	45	7.2 x 10^30	1.189 7e+22	0.382	0.038	0.299	0.021	0.259	
0.006	2	60	7.2 x 10^30	1.189 7e+22	0	0	0.004	0.004	0.993	
0.012	1.1	0	4.2 x 10^30	2.383 3e+22	1	0	0	0	0	
0.012	1.1	30	4.2 x 10^30	2.383 3e+22	0.999	0	0	0	0	
0.012	1.1	45	4.2 x 10^30	2.383 3e+22	0.863	0.011	0.112	0.006	0.008	
0.012	1.1	60	4.2 x 10^30	2.383 3e+22	0.149	0.016	0.166	0.044	0.625	
0.012	1.5	0	7.9 x 10^30	2.383 3e+22	0.997	0.003	0	0	0	
0.012	1.5	30	7.9 x 10^30	2.383 3e+22	0.991	0.006	0.002	0	0	
0.012	1.5	45	7.9 x 10^30	2.383 3e+22	0.543	0.015	0.212	0.024	0.207	
0.012	1.5	60	7.9 x 10^30	2.383 3e+22	0.022	0.006	0.047	0.007	0.918	
0.012	2	0	1.4 x 10^31	2.383 3e+22	0.916	0.08	0.004	0	0	
0.012	2	30	1.4 x 10^31	2.383 3e+22	0.92	0.038	0.039	0.002	0.001	
0.012	2	45	1.4 x 10^31	2.383 3e+22	0.293	0.008	0.173	0.023	0.504	
0.012	2	60	1.4 x 10^31	2.383 3e+22	0	0	0	0.001	0.999	
Notes.
^1. M _proj ^iron is the total mass of projectile iron, which is the same at the beginning and end of the simulation.
^2. X ^Fe _interior is the fraction of projectile iron particles in the interior, at the end of the simulation. Results are similarly reported for the fraction of iron particles in the surface, atmosphere, disk, and escaping material.
